Countries,Region,v40,v45,v203,MW,PC,GBR,CM,LW,SW,YW
Argentina,1,-0.05,-0.83,-0.03,-0.36,,,,0.51,-0.36,0.73
Armenia,2,,,,,,,0.22,0.44,,0.87
Brazil,1,0.20,0.07,-0.39,0.16,,,0.35,,-0.85,-0.33,,
Chile,1,-0.31,0.24,-0.76,-0.66,,0.65,0.22,0.52,-0.86,0.76,,
China,3,-0.43,0.50,-1.13,,,-0.37,1.39,-0.40,,-0.41,,
Colombia,1,,,,2.67,0.23,1.11,0.64,0.85,-1.01,-0.16,,
Ecuador,1,,,,,,0.59,0.10,0.33,,0.10,,
Egypt,4,,,,,,-0.67,-0.13,,,-0.69,,
Germany,2,0.07,-0.24,0.77,-0.58,0.99,0.49,0.80,,0.82,1.05,,
Ghana,4,,,,,,-0.95,-1.30,,,-0.68,,
Hong Kong,3,,,,,,,1.46,,,,,
Iraq,5,,,,,,-0.96,-1.51,,,-1.03,,
Japan,3,-1.53,2.00,-0.39,-0.70,-0.90,0.70,0.42,,1.49,1.48,,
Kuwait,5,,,,-0.69,1.04,0.24,,,-1.14,-0.19,,
Lebanon,5,,,,,,0.69,,,,0.14,,
Mexico,1,-1.31,-0.94,-0.09,0.40,-3.05,0.40,0.51,0.28,-1.14,-0.05,,
Morocco,4,,,,,,-1.59,-0.37,,,-1.47,,
Netherlands,2,1.82,-0.77,2.54,-0.65,-1.51,0.44,1.14,,0.56,0.90,,
Nigeria,4,-0.45,1.01,,,,-0.72,-1.82,-2.99,,-1.05,,
Pakistan,3,,,,,,-3.03,-1.41,,,,,
Palestine,5,,,,,,,,,,-1.62,,
Peru,1,,,,,,0.35,0.35,-0.05,,0.10,,
Qatar,5,,,,,,0.90,,,,0.08,,
Russia,2,-0.48,0.25,-1.01,1.53,-0.10,,0.49,0.45,1.63,1.30,,
Rwanda,4,,,,,,0.26,-1.20,0.44,,-1.38,,
Spain,2,0.20,-0.40,0.46,-0.72,-1.24,0.90,,0.44,-0.47,0.26,,
Sweden,2,0.92,-1.54,0.89,-0.58,1.00,0.87,,,1.31,1.47,,
Turkey,4,-0.53,1.47,-0.88,,,-0.89,0.49,-0.81,,-0.66,,
United States,1,-0.05,-0.83,0.03,0.41,0.49,0.59,0.82,,-0.01,1.80,,
Uruguay,1,2.36,,,-0.22,,,,,0.02,0.63,,
Yemen,3,-0.41,,,,,,-1.67,,,-1.95,,